yearid,fipscode,raceid,ageid,genderid,educationid,indicatorid,miscid,datasourceid,estimateid,SuppressID,datasetid,GeoLevel,Estimate,SeEstimate,LowerLimit,UpperLimit
1980,-1,7,100,0,0,1,0,30,61,0,40,National,.,.,.,.
1981,-1,0,5,0,0,1,0,30,61,0,40,National,0.9,0.1,0.8,1.1
1981,-1,0,5,0,0,1,0,30,101,0,40,National,855,61,734,976
1981,-1,0,6,0,0,1,0,3,61,0,3,National,5.7,0.3,5.2,6.3
1981,-1,0,6,0,0,1,0,3,101,0,3,National,2523,133,2260,2786
1981,-1,0,6,0,0,1,0,30,61,0,40,National,5.7,0.3,5.2,6.3
1981,-1,0,6,0,0,1,0,30,101,0,40,National,2523,133,2260,2786
1981,-1,0,7,0,0,1,0,3,61,0,3,National,8.6,0.6,7.4,9.9
1981,-1,0,7,0,0,1,0,3,101,0,3,National,1338,109,1122,1553
1981,-1,0,7,0,0,1,0,30,61,0,40,National,8.6,0.6,7.4,9.9
1981,-1,0,7,0,0,1,0,30,101,0,40,National,1338,109,1122,1553
1981,-1,0,8,0,0,1,0,3,61,0,3,National,9.2,0.8,7.7,10.9
1981,-1,0,8,0,0,1,0,3,101,0,3,National,849,74,703,996
1981,-1,0,8,0,0,1,0,30,61,0,40,National,9.2,0.8,7.7,10.9
1981,-1,0,8,0,0,1,0,30,101,0,40,National,849,74,703,996
1981,-1,0,9,0,0,1,0,3,61,0,3,National,0.6,0,0.5,0.7
1981,-1,0,9,0,0,1,0,3,101,0,3,National,935,65,806,1064
1981,-1,0,99,0,0,1,0,3,61,0,3,National,2.5,0.1,2.3,2.7
1981,-1,0,99,0,0,1,0,3,101,0,3,National,5645,219,5212,6079
1981,-1,0,99,0,0,1,0,30,61,0,40,National,3.4,0.1,3.2,3.7
1981,-1,0,99,0,0,1,0,30,101,0,40,National,5565,217,5136,5994
1981,-1,0,99,0,1,1,0,30,61,0,40,National,6.4,0.3,5.8,7.1
1981,-1,0,99,0,1,1,0,30,101,0,40,National,2943,174,2601,3285
1981,-1,0,99,0,2,1,0,30,61,0,40,National,2.6,0.2,2.3,3
1981,-1,0,99,0,2,1,0,30,101,0,40,National,1609,121,1370,1849
1981,-1,0,99,0,3,1,0,30,61,0,40,National,1.7,0.1,1.5,2.1
1981,-1,0,99,0,3,1,0,30,101,0,40,National,920,88,747,1092
1981,-1,0,99,1,0,1,0,3,61,0,3,National,2.3,0.1,2.1,2.6
1981,-1,0,99,1,0,1,0,3,101,0,3,National,2509,146,2221,2796
1981,-1,0,99,1,0,1,0,30,61,0,40,National,3.2,0.2,2.9,3.6
1981,-1,0,99,1,0,1,0,30,101,0,40,National,2480,143,2198,2763
1981,-1,0,99,2,0,1,0,3,61,0,3,National,2.7,0.1,2.5,2.9
1981,-1,0,99,2,0,1,0,3,101,0,3,National,3136,143,2853,3420
1981,-1,0,99,2,0,1,0,30,61,0,40,National,3.6,0.2,3.3,3.9
1981,-1,0,99,2,0,1,0,30,101,0,40,National,3085,144,2800,3369
1981,-1,0,100,0,0,1,0,3,61,0,3,National,2.8,0.1,2.6,3
1981,-1,0,100,0,0,1,0,30,61,0,40,National,3.7,0.1,3.4,4
1981,-1,0,100,0,1,1,0,30,61,0,40,National,5,0.3,4.5,5.5
1981,-1,0,100,0,2,1,0,30,61,0,40,National,3.1,0.2,2.7,3.5
1981,-1,0,100,0,3,1,0,30,61,0,40,National,2.5,0.2,2.1,3
1981,-1,0,100,1,0,1,0,3,61,0,3,National,2.7,0.2,2.4,3
1981,-1,0,100,1,0,1,0,30,61,0,40,National,3.6,0.2,3.2,4
1981,-1,0,100,2,0,1,0,3,61,0,3,National,2.8,0.1,2.6,3.1
1981,-1,0,100,2,0,1,0,30,61,0,40,National,3.8,0.2,3.4,4.1
1981,-1,1,99,0,0,1,0,3,61,0,3,National,2.4,0.1,2.2,2.6
1981,-1,1,99,0,0,1,0,3,101,0,3,National,4652,201,4254,5050
1981,-1,1,99,0,0,1,0,30,61,0,40,National,3.3,0.1,3,3.5
1981,-1,1,99,0,0,1,0,30,101,0,40,National,4583,198,4193,4974
1981,-1,1,100,0,0,1,0,3,61,0,3,National,2.6,0.1,2.4,2.8
1981,-1,1,100,0,0,1,0,30,61,0,40,National,3.4,0.1,3.2,3.7
1981,-1,2,99,0,0,1,0,3,61,0,3,National,3.3,0.3,2.7,4.1
1981,-1,2,99,0,0,1,0,3,101,0,3,National,884,91,703,1064
1981,-1,2,99,0,0,1,0,30,61,0,40,National,5.1,0.5,4.2,6.3
1981,-1,2,99,0,0,1,0,30,101,0,40,National,873,94,687,1058
1981,-1,2,100,0,0,1,0,3,61,0,3,National,4.6,0.4,3.8,5.6
1981,-1,2,100,0,0,1,0,30,61,0,40,National,6.3,0.6,5.2,7.6
1981,-1,3,99,0,0,1,0,3,61,0,3,National,.,.,.,.
1981,-1,3,99,0,0,1,0,3,101,0,3,National,.,.,.,.
1981,-1,3,99,0,0,1,0,30,61,0,40,National,.,.,.,.
1981,-1,3,99,0,0,1,0,30,101,0,40,National,.,.,.,.
1981,-1,3,100,0,0,1,0,3,61,0,3,National,.,.,.,.
1981,-1,3,100,0,0,1,0,30,61,0,40,National,.,.,.,.
1981,-1,7,99,0,0,1,0,3,61,0,3,National,.,.,.,.
1981,-1,7,99,0,0,1,0,3,101,0,3,National,.,.,.,.
1981,-1,7,99,0,0,1,0,30,61,0,40,National,.,.,.,.
1981,-1,7,99,0,0,1,0,30,101,0,40,National,.,.,.,.
1981,-1,7,100,0,0,1,0,3,61,0,3,National,.,.,.,.
1981,-1,7,100,0,0,1,0,30,61,0,40,National,.,.,.,.
1982,-1,0,5,0,0,1,0,30,61,0,40,National,0.9,0.2,0.7,1.3
